Name,Discount_percentage,Price,Rating,Release,Ends,Started,Jogos Gratis
Behind the Frame: The Finest Scenery,-40%,"R$ 25,19",91.41%,08/2021,in 6 days,yesterday,
Necesse,-35%,"R$ 30,54",91.38%,12/2019,in 3 days,11 days ago,
Sledders,-20%,"R$ 59,19",91.38%,12/2023,in 5 days,2 days ago,
"Cook, Serve, Delicious!",-80%,"R$ 3,99",91.23%,10/2013,in 3 days,4 days ago,
Meg's Monster,-15%,"R$ 39,94",91.22%,03/2023,in 5 days,2 days ago,
Kinkoi: Golden Time,-37%,"R$ 56,06",91.18%,07/2022,in 3 days,4 days ago,
Gaokao.Love.100Days,-40%,"R$ 17,40",91.14%,05/2015,in 3 days,4 days ago,
Tiny Snow,-40%,"R$ 7,20",91.13%,02/2019,in 3 days,4 days ago,
Zenge,-50%,"R$ 3,49",91.09%,04/2016,in 3 days,4 days ago,
Card Survival: Tropical Island,-50%,"R$ 23,74",91.06%,09/2022,in 7 days,6 hours ago,
Hamidashi Creative,-30%,"R$ 62,29",91.06%,09/2022,in 3 days,4 days ago,
The Darkside Detective,-55%,"R$ 21,14",91.05%,07/2017,in 6 days,yesterday,
I wanna be the Creator,-30%,"R$ 8,67",91.03%,11/2019,,,
Trepang2,-50%,"R$ 64,50",91.01%,06/2023,,,
Terminus: Zombie Survivors,-25%,"R$ 44,99",90.90%,08/2024,,,
Samorost 3,-80%,"R$ 10,99",90.80%,03/2016,,,
Grim Legends 2: Song of the Dark Swan,-70%,"R$ 14,09",90.80%,09/2014,,,
Kaori After Story,-75%,"R$ 8,24",90.78%,12/2018,,,
Staffer Case: A Supernatural Mystery Adventure,-31%,"R$ 26,55",90.78%,04/2023,,,
PARQUET,-45%,"R$ 28,86",90.77%,08/2021,,,
Making*Lovers,-50%,"R$ 44,49",90.72%,04/2020,,,
Grim Legends: The Forsaken Bride,-75%,"R$ 11,74",90.68%,02/2014,,,
Frog Detective 2: The Case of the Invisible Wizard,-45%,"R$ 9,34",90.67%,12/2019,,,
Cryptmaster,-15%,"R$ 62,89",90.67%,05/2024,,,
Trackmania United Forever,-50%,"R$ 44,99",90.66%,04/2008,,,
Her New Memory - Hentai Simulator,-66%,"R$ 11,21",90.63%,02/2022,,,
Trailmakers,-75%,"R$ 11,87",90.54%,09/2019,,,
Original War,-80%,"R$ 7,99",90.41%,06/2001,,,
Four Last Things,-75%,"R$ 7,49",90.38%,02/2017,,,
Arma 2: Operation Arrowhead,-80%,"R$ 9,99",90.36%,06/2010,,,
Burger Shop,-50%,"R$ 7,24",90.28%,10/2007,,,
Mutazione,-60%,"R$ 23,99",90.27%,09/2019,,,
ACE Academy,-75%,"R$ 14,99",90.23%,08/2016,,,
Hero of the Kingdom,-85%,"R$ 3,97",90.19%,12/2012,,,
Blasphemous 2,-50%,"R$ 74,50",90.13%,08/2023,,,
Atelier Sophie 2: The Alchemist of the Mysterious Dream,-50%,"R$ 149,50",90.12%,02/2022,,,
Freshly Frosted,-42%,"R$ 12,00",90.08%,06/2022,,,
Hero of the Kingdom II,-85%,"R$ 4,49",90.06%,02/2015,,,
Tom Clancy's Splinter Cell Chaos Theory®,-75%,"R$ 7,49",89.94%,03/2005,,,
WHAT THE GOLF?,-66%,"R$ 12,91",89.94%,10/2020,,,
Attack on Titan 2 - A.O.T.2,-50%,"R$ 149,50",89.85%,04/2023,,,
Staffer Reborn,-26%,"R$ 7,76",89.76%,04/2024,,,
Chillquarium,-25%,"R$ 15,36",89.75%,09/2023,,,
Burger Shop 2,-50%,"R$ 7,24",89.63%,07/2009,,,
